EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
139009;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;589328,79;372363,92;0;349986,29;INMOBILIARIA
133241;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;4;1766086,8;418205,72;1224236,76;330505,76;INMOBILIARIA
108423;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;329011,88;329011,88;0;327811,88;INMOBILIARIA
79915;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;3;11362936,2;2756372,84;1050839,91;319816,82;INMOBILIARIA
41395;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;691824,1;379420,32;690100;313226,89;INMOBILIARIA
8469;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;7;4714918,73;1261220,67;907005,24;310518,99;INMOBILIARIA
17155;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;8;1834269;1598031;276000;310387;INMOBILIARIA
141978;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;5;6572159,5;969227,19;1373764,19;310070,64;INMOBILIARIA
708003;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;7727892,4;4415894,81;906834,71;304631,23;INMOBILIARIA
157798;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;474751,08;473357,56;384415,25;299779,28;INMOBILIARIA
182741;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;2;1482803,72;543247,69;1396736,3;297743,7;INMOBILIARIA
102962;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);MEDIANA;SOCIETARIO;5;4537262,38;4285052,96;996775;294822,97;INMOBILIARIA
13811;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;2;1257944,97;1156107,88;48680;294607,07;INMOBILIARIA
1381;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;2;4481677,18;4214134,72;555693,36;293061,77;INMOBILIARIA
174556;ANÓNIMA;COSTA;GUAYAS;DAULE;PEQUEÑA;SOCIETARIO;3;5232923,94;1000721,05;640282,83;292080,38;INMOBILIARIA
68502;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;14;1548380,36;1048364,63;432439,32;289833,84;INMOBILIARIA
161218;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;24;14081193,6;10931819;2530499,76;281351,93;INMOBILIARIA
72505;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;561387,82;481802,59;64378,75;280943,75;INMOBILIARIA
43989;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;1047935,72;933991,26;16150;280603,41;INMOBILIARIA
5027;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;291704,1;286592,51;0;279491,43;INMOBILIARIA
132826;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;69;3997858,81;305300,73;2394636,14;278762,88;INMOBILIARIA
74431;ANÓNIMA;COSTA;EL ORO;MACHALA;PEQUEÑA;SOCIETARIO;7;2703891,28;1642206,74;371912,31;269679,01;INMOBILIARIA
141200;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;3790688,17;2060381,73;0;267205,88;INMOBILIARIA
152949;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;7949740,15;276136,8;0;265897,65;INMOBILIARIA
157794;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;17;2812475,38;453745,63;1643813,39;261779,14;INMOBILIARIA
12662;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;2;3093249,4;2362402,77;601708,49;254739,25;INMOBILIARIA
130513;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;48;858343,2;301128,64;2508129,43;251628,64;INMOBILIARIA
5543;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;1214669,42;447399,03;457077,58;251472,77;INMOBILIARIA
4470;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;7;417574,19;344925,78;931426,42;250188,75;INMOBILIARIA
133453;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;4;4979932,73;2226588,08;1034546,1;249321,16;INMOBILIARIA
129049;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;69;15763320,5;2041446,4;10774456,61;245228,52;INMOBILIARIA
151777;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;2918521,52;1459715,76;932043,08;244863,63;INMOBILIARIA
64143;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;9;2426827,81;810382,53;608565,57;242180,94;INMOBILIARIA
2473;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;6;13932682,4;11443587,9;1139110,97;240735,61;INMOBILIARIA
65674;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;1600395,44;1567936,39;522300;238514,94;INMOBILIARIA
5011;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;1110751,2;1039553,68;154642,37;238434,37;INMOBILIARIA
148327;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;1646472,26;1558269,66;660000;235146,19;INMOBILIARIA
108687;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;1;19507657,5;8192001,82;541280,09;232882,25;INMOBILIARIA
33472;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MEDIANA;SOCIETARIO;7;14528296,3;3428142,58;3773568,41;231945,38;INMOBILIARIA
25065;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;10695229,5;10344270,3;936253;229652,38;INMOBILIARIA
159236;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;2101297,12;2044632,6;207032,68;226948,1;INMOBILIARIA
57531;ANÓNIMA;COSTA;GUAYAS;SAMBORONDÓN;GRANDE;SOCIETARIO;19;10891825,9;473948,91;6458494,03;222771,21;INMOBILIARIA
172773;ANÓNIMA;COSTA;SANTA ELENA;SANTA ELENA;MEDIANA;SOCIETARIO;6;6418796,84;1200690,93;3748769,31;222262,65;INMOBILIARIA
5855;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;6;20383204;2959841,25;3533963,06;221688,42;INMOBILIARIA
65492;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;7;4446126,13;4373787,57;757215,6;220423,51;INMOBILIARIA
95010;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;8;6698993,89;5442948,5;860400;215804,03;INMOBILIARIA
133966;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;48;6745307,92;2455407,83;4358180,28;212536,46;INMOBILIARIA
63808;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;6131402,52;4986103,51;419911,34;209228,29;INMOBILIARIA
120713;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;4523759,66;1065170,05;519744,22;209148,25;INMOBILIARIA
42783;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;1514501,12;714628,39;442125,76;205566,14;INMOBILIARIA
168687;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;1;18690913,1;14246950;1237323,33;205213,72;INMOBILIARIA
