EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
132461;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;475868,23;41080,1;395744,34;8194,81;COMERCIO
143429;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;91288,76;85174,35;296744,07;8187,94;COMERCIO
156470;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;27;2053285,89;615446,68;3447806,3;8169,45;COMERCIO
62443;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;2;244282,18;221041,27;311489,17;8161,33;COMERCIO
701143;ANÓNIMA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;4;306837,86;30163,72;516453,55;8152,45;COMERCIO
123799;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;129978,68;47547,59;164853,51;8137,4;COMERCIO
63919;ANÓNIMA;COSTA;GUAYAS;DAULE;PEQUEÑA;SOCIETARIO;4;193635,99;186633,59;338977,79;8136,62;COMERCIO
103349;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;255131,49;85660,75;622672,75;8120,22;COMERCIO
157577;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;23267,85;23167,85;34936,04;8111,9;COMERCIO
140512;ANÓNIMA;COSTA;MANABI;MANTA;PEQUEÑA;SOCIETARIO;23;295121,58;60931,28;570678,69;8109,62;COMERCIO
116209;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;6;277480,29;261611,2;184993,11;8102,32;COMERCIO
183101;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;9;457307,9;29588,4;6867575,52;8094,79;COMERCIO
173846;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;3;37248,32;12901,53;162356,56;8087,78;COMERCIO
148897;ANÓNIMA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;15;178141,56;87979,11;450682,42;8085,03;COMERCIO
106628;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;9;177494,6;144485,69;195165,68;8070,46;COMERCIO
156617;ANÓNIMA;ORIENTE;ORELLANA;PUERTO FRANCISCO DE ORELLANA (COCA);MICROEMPRESA;SOCIETARIO;6;111970,76;49078,73;16800;8054,99;COMERCIO
703123;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;16;347002,69;40092,25;672917,89;8048,42;COMERCIO
