AÑO;EXPEDIENTE;FIRMA;BIG4;PATRIMONIO;CAPITAL_SOCIAL;EBIT;PRECIO_ACCION;NO_ACCIONES;PAT_ACCIONES;EBIT_ACCIONES;SECTOR
2013;2448;PWC PRICE WATER HOUSE COOPERS;Sí;126947466,6;20490472;164455716,2;43;20490472;6,195438865;8,025960366;MANUFACTURA
2013;384;DELOITTE;Sí;858659083;335000000;167682043,5;4,61;335000000;2,563161442;0,500543413;COMERCIO
2013;9086;ALTAMIRANO HIDALGO MARIO ROBERTO;No;11028754,8;2496250;265358,35;93;99850;110,4532278;2,657569855;MANUFACTURA
2013;126262;DELOITTE;Sí;3180023,67;125000;207324,58;24;125000;25,44018936;1,65859664;AGRICULTURA
2013;130459;DELOITTE;Sí;2689206,36;135000;168986,01;20;135000;19,92004711;1,251748222;AGRICULTURA
2013;112126;DELOITTE;Sí;3249535,17;90000;289230,58;34;90000;36,10594633;3,213673111;AGRICULTURA
2013;2308;ERNST & YOUNG;Sí;409581055,4;102405104,5;163254030,5;69;20481020,9;19,99807809;7,970990863;MANUFACTURA
2013;677;DELOITTE;Sí;72599203,04;36000000;7784213,04;1,59;36000000;2,016644529;0,21622814;MANUFACTURA
2013;123003;DELOITTE;Sí;2871280,8;100000;198863,44;27;100000;28,712808;1,9886344;AGRICULTURA
2013;29702;DELOITTE;Sí;3183311,66;200000;265054,73;15,5;200000;15,9165583;1,32527365;AGRICULTURA
2013;144907;DELOITTE;Sí;4374623,42;350000;1458583,66;12;350000;12,49892406;4,167381886;AGRICULTURA
2013;134097;DELOITTE;Sí;2620806,16;150000;160078,54;18;150000;17,47204107;1,067190267;AGRICULTURA
2013;115840;DELOITTE;Sí;2862444,08;90000;196825,01;31,25;90000;31,80493422;2,186944556;AGRICULTURA
2013;137413;DELOITTE;Sí;3463401,38;240000;200798,48;14,5;240000;14,43083908;0,836660333;AGRICULTURA
2013;105736;DELOITTE;Sí;3350192,32;80000;50729,17;38,25;80000;41,877404;0,634114625;AGRICULTURA
2013;106155;PKF;No;2445502,7;900000;51597,58;3,5;900000;2,717225222;0,057330644;AGRICULTURA
2013;109025;DELOITTE;Sí;3415887,24;90000;303388,35;37;90000;37,95430267;3,370981667;AGRICULTURA
2013;2234;HANSEN HOLM & CO. CIA. LTDA.;No;155034860;120000000;20774803,75;1,5;120000000;1,291957167;0,173123365;MANUFACTURA
2013;87399;PWC PRICE WATER HOUSE COOPERS;Sí;43160388,96;25767684;13537825,53;4,5;25767684;1,674981304;0,525379989;COMERCIO
2014;3254;BDO;No;19005422,4;343324,02;3997337,13;1;343324,02;55,35710085;11,64304534;COMERCIO
2014;141574;DELOITTE;Sí;2028571,57;150000;184846,91;13,5;150000;13,52381047;1,232312733;AGRICULTURA
2014;118604;DELOITTE;Sí;3387208,43;100000;431868,68;31;100000;33,8720843;4,3186868;AGRICULTURA
2014;2448;PWC PRICE WATER HOUSE COOPERS;Sí;145192639;20490472;264648911,3;55,1;20490472;7,085861126;12,91570596;MANUFACTURA
2014;384;DELOITTE;Sí;961776312;375000000;265377512,5;4,75;375000000;2,564736832;0,707673367;COMERCIO
2014;4312;BDO;No;53105318,5;21000000;26207012,3;4,06;21000000;2,52882469;1,247952967;MANUFACTURA
2014;9086;ASE + ASESORANDO MAS;No;11465354,6;3463950;0;5,15;138558;82,74769122;0;MANUFACTURA
2014;126262;MOORE STEPHENS;No;3539829,88;125000;463956,22;93;125000;28,31863904;3,71164976;AGRICULTURA
2014;130459;DELOITTE;Sí;2987338,85;135000;385067,16;25;135000;22,12843593;2,852349333;AGRICULTURA
2014;112126;DELOITTE;Sí;3591446,3;90000;466835,82;20,5;90000;39,90495889;5,187064667;AGRICULTURA
