EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
97142;RESPONSABILIDAD LIMITADA;COSTA;EL ORO;SANTA ROSA;GRANDE;SOCIETARIO;155;11497775,5;2946707,93;5396599,82;500161,05;AGRICULTURA
71098;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;25;3263787,28;2289960,53;4816118,28;499694,27;AGRICULTURA
75039;ANÓNIMA;COSTA;GUAYAS;NARCISA DE JESÚS (NOBOL);GRANDE;SOCIETARIO;87;8054325,79;4336292,84;15897154,6;496704,22;AGRICULTURA
124446;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;53;8731911,63;1118775,53;54037141,1;493322,24;AGRICULTURA
24668;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;88;6557866,47;1887114,19;10165826;489510,09;AGRICULTURA
118745;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;26;2786251,43;2007215,84;3957421,66;488288,52;AGRICULTURA
710258;ANÓNIMA;COSTA;GUAYAS;ELOY ALFARO (DURAN);MEDIANA;SOCIETARIO;25;849920,14;518065,01;1626571,5;479641,61;AGRICULTURA
1678;ANÓNIMA EN PREDIOS RÚSTICOS;SIERRA;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO DE LOS COLORADOS;MEDIANA;SOCIETARIO;135;6300378,13;4803763,53;3982113,55;476820,47;AGRICULTURA
102761;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;124;26295824;2785771,41;25515865,88;473932,08;AGRICULTURA
38195;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;54;3432969,5;1472637,29;3938370,81;471468,71;AGRICULTURA
127824;ANÓNIMA;COSTA;EL ORO;MACHALA;MEDIANA;SOCIETARIO;38;4063921,06;1215208,4;3875470,63;469447,01;AGRICULTURA
1324;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;90;10878968,4;10016509,1;5118414,56;452183,81;AGRICULTURA
66732;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;GRANDE;SOCIETARIO;335;17829233,2;3371244,86;20254113,12;440988,47;AGRICULTURA
85306;ANÓNIMA;SIERRA;PICHINCHA;QUITO;GRANDE;SOCIETARIO;394;8690422,39;4106918,31;9466019,25;439723,97;AGRICULTURA
76651;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;30;2710736,35;2283704,16;3545476,82;424993,82;AGRICULTURA
115665;ANÓNIMA;COSTA;MANABI;MANTA;MEDIANA;SOCIETARIO;23;2921539,91;1099555,33;2238153,05;415769,88;AGRICULTURA
85026;ANÓNIMA;SIERRA;PICHINCHA;TABACUNDO;GRANDE;SOCIETARIO;361;9907763,54;6305823,35;8310039,09;410047,98;AGRICULTURA
97439;ANÓNIMA;COSTA;EL ORO;EL GUABO;MEDIANA;SOCIETARIO;4;1441811,02;965552,35;1794035,95;409845,45;AGRICULTURA
36112;ANÓNIMA;SIERRA;TUNGURAHUA;AMBATO;MEDIANA;SOCIETARIO;10;3898072,34;2883790;4338892,99;408158,61;AGRICULTURA
