EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
306709;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;493,72;93,72;0;-436,74;MANUFACTURA
702390;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;34080,63;670,81;0;-441,33;MANUFACTURA
706413;ANÓNIMA;SIERRA;PICHINCHA;MACHACHI;MICROEMPRESA;SOCIETARIO;4;1380,79;-1437,21;0;-452;MANUFACTURA
46407;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;444055,48;204545,84;14800;-464,19;MANUFACTURA
14031;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;29;440084,32;14551,97;803111,9;-469,33;MANUFACTURA
107024;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;6;3132,57;3079,28;4092,69;-471,13;MANUFACTURA
28068;RESPONSABILIDAD LIMITADA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;210068,51;141578,37;291704,04;-480,42;MANUFACTURA
702815;RESPONSABILIDAD LIMITADA;SIERRA;COTOPAXI;LATACUNGA;MICROEMPRESA;SOCIETARIO;6;10047,79;9518,12;0;-481,88;MANUFACTURA
135991;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;15;133882,8;1957,74;302096,98;-483,08;MANUFACTURA
719600;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;6;50677,77;49516,86;1536,6;-483,14;MANUFACTURA
44725;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;43726,21;43726,21;0;-483,78;MANUFACTURA
143698;RESPONSABILIDAD LIMITADA;SIERRA;CHIMBORAZO;GUANO;MICROEMPRESA;SOCIETARIO;4;1539,52;1539,52;0;-493,99;MANUFACTURA
107194;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;483229,01;28606,67;0;-500;MANUFACTURA
1924;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;65542,75;65542,75;0;-509,82;MANUFACTURA
138200;ANÓNIMA;SIERRA;PICHINCHA;MACHACHI;PEQUEÑA;SOCIETARIO;12;172022,69;28312,44;337354,74;-513,58;MANUFACTURA
113058;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MEDIANA;SOCIETARIO;17;925149,98;185900,21;1623004,93;-518,37;MANUFACTURA
31752;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;18;351989,04;170347,94;448528,65;-539,39;MANUFACTURA
301050;RESPONSABILIDAD LIMITADA;SIERRA;IMBABURA;IBARRA;MICROEMPRESA;SOCIETARIO;2;4019,72;-199,68;17,77;-539,4;MANUFACTURA
166923;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;MICROEMPRESA;SOCIETARIO;4;2028,72;557,97;5271,74;-541,88;MANUFACTURA
171486;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;15746,19;8691,93;15815,12;-561,06;MANUFACTURA
