EXPEDIENTE;TIPO;REGIÓN;PROVINCIA;CIUDAD;TAMAÑO;SECTOR;EMPLEADOS;ACTIVO;PATRIMONIO;VENTAS;UTILIDAD;SECTOR_PROD
162697;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;161352,63;104176,27;0;-7700,09;CONSTRUCCIÓN
157865;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;7;2686,75;98,57;0;-7775,34;CONSTRUCCIÓN
182638;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;11;4140,74;-7184,31;55600,01;-7797,29;CONSTRUCCIÓN
178480;RESPONSABILIDAD LIMITADA;SIERRA;CHIMBORAZO;RIOBAMBA;MICROEMPRESA;SOCIETARIO;4;1925,03;-7427,72;86742,21;-7827,72;CONSTRUCCIÓN
156740;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;18;966815,67;100720,58;333658,8;-7884,07;CONSTRUCCIÓN
179760;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;2;61616,29;16265,52;187900,32;-7895,4;CONSTRUCCIÓN
166647;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;115765,15;40240,03;0;-7898,5;CONSTRUCCIÓN
33312;RESPONSABILIDAD LIMITADA;ORIENTE;MORONA SANTIAGO;GUALAQUIZA;MICROEMPRESA;SOCIETARIO;4;10775,46;10775,46;0;-8007,39;CONSTRUCCIÓN
302582;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;21572,69;21572,69;0;-8024,91;CONSTRUCCIÓN
162180;RESPONSABILIDAD LIMITADA;SIERRA;IMBABURA;OTAVALO;MICROEMPRESA;SOCIETARIO;6;12394,03;12297,25;0;-8077,93;CONSTRUCCIÓN
142749;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;7;16265,65;-26843,75;0;-8096,14;CONSTRUCCIÓN
703287;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;19995,75;5696,45;0;-8097,26;CONSTRUCCIÓN
134901;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;PEQUEÑA;SOCIETARIO;4;1048349,98;568577,69;713276,15;-8132,37;CONSTRUCCIÓN
85815;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;5937,84;2946,61;28838,95;-8160;CONSTRUCCIÓN
311033;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;2;27956,15;-7770,58;2086,07;-8170,58;CONSTRUCCIÓN
62519;ANÓNIMA;COSTA;MANABI;PORTOVIEJO;MICROEMPRESA;SOCIETARIO;4;204300,99;109075,43;0;-8187,62;CONSTRUCCIÓN
106718;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;4;82356,73;80764,95;20200,66;-8270,77;CONSTRUCCIÓN
87598;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;145539,94;-2812,69;286328,3;-8326,91;CONSTRUCCIÓN
88152;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;993111,12;763826,19;36000;-8327,82;CONSTRUCCIÓN
305804;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;2048,54;-12092,85;1812,83;-8491,87;CONSTRUCCIÓN
175355;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;54029,82;48177,27;4414,76;-8548,94;CONSTRUCCIÓN
700757;ANÓNIMA;COSTA;GUAYAS;GUAYAQUIL;MICROEMPRESA;SOCIETARIO;8;1563712,03;682,49;23350;-8588,19;CONSTRUCCIÓN
147278;ANÓNIMA;SIERRA;COTOPAXI;SIGCHOS;MICROEMPRESA;SOCIETARIO;3;89587,39;74666,86;26161,68;-8633,98;CONSTRUCCIÓN
704996;ANÓNIMA;SIERRA;COTOPAXI;LATACUNGA;MICROEMPRESA;SOCIETARIO;4;37491,11;37307,51;0;-8650,16;CONSTRUCCIÓN
7270;ANÓNIMA;COSTA;MANABI;PORTOVIEJO;MICROEMPRESA;SOCIETARIO;6;275806,6;73751,47;4243,96;-8654,48;CONSTRUCCIÓN
95161;RESPONSABILIDAD LIMITADA;SIERRA;AZUAY;CUENCA;PEQUEÑA;SOCIETARIO;3;738207,49;229119,51;1428,56;-8688,13;CONSTRUCCIÓN
702154;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;6939618,18;-6289,36;0;-8868,82;CONSTRUCCIÓN
708482;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;9;37618,29;-10519,6;29298,58;-9103,35;CONSTRUCCIÓN
36862;ANÓNIMA;COSTA;EL ORO;SANTA ROSA;MICROEMPRESA;SOCIETARIO;6;66664,44;-5221,1;36098,23;-9239,63;CONSTRUCCIÓN
50479;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;774847,02;771128,61;0;-9571,8;CONSTRUCCIÓN
64813;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MEDIANA;SOCIETARIO;44;984497,93;220536,13;2204196,89;-9620,32;CONSTRUCCIÓN
161101;RESPONSABILIDAD LIMITADA;SIERRA;IMBABURA;IBARRA;PEQUEÑA;SOCIETARIO;4;110774,35;80528,35;0;-9690,22;CONSTRUCCIÓN
708437;RESPONSABILIDAD LIMITADA;SIERRA;CHIMBORAZO;VILLA LA UNIÓN (CAJABAMBA);MICROEMPRESA;SOCIETARIO;4;11880,94;2121,79;23341;-9759,15;CONSTRUCCIÓN
90311;RESPONSABILIDAD LIMITADA;SIERRA;PICHINCHA;QUITO;PEQUEÑA;SOCIETARIO;6;231283,71;-79031,04;0;-9779,64;CONSTRUCCIÓN
52415;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;112023,9;104614,73;40275,27;-9795,27;CONSTRUCCIÓN
152515;ANÓNIMA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;6;491630,57;-9012,91;0;-9812,91;CONSTRUCCIÓN
719519;SUCURSAL EXTRANJERA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;6;90859,61;-7845,48;0;-9845,48;CONSTRUCCIÓN
141356;SUCURSAL EXTRANJERA;SIERRA;PICHINCHA;QUITO;MICROEMPRESA;SOCIETARIO;4;52601,57;52601,57;0;-9912,19;CONSTRUCCIÓN
182998;RESPONSABILIDAD LIMITADA;ORIENTE;ORELLANA;LA JOYA DE LOS SACHAS;PEQUEÑA;SOCIETARIO;4;5421,33;-7874,56;108442,1;-10024,97;CONSTRUCCIÓN
